Date,Close
29-Dec-04,6567.94
30-Dec-04,6522.54
31-Dec-04,6602.69
3-Jan-05,6679.2
4-Jan-05,6651.01
5-Jan-05,6458.84
6-Jan-05,6367.39
7-Jan-05,6420.46
10-Jan-05,6308.54
11-Jan-05,6222.87
12-Jan-05,6102.74
13-Jan-05,6221.06
14-Jan-05,6173.82
17-Jan-05,6194.07
18-Jan-05,6192.35
19-Jan-05,6173.32
20-Jan-05,6183.24
24-Jan-05,6106.43
25-Jan-05,6162.98
27-Jan-05,6239.43
28-Jan-05,6419.09
31-Jan-05,6555.94
1-Feb-05,6552.47
2-Feb-05,6530.06
3-Feb-05,6619.97
4-Feb-05,6618.23
7-Feb-05,6535.17
8-Feb-05,6544.77
9-Feb-05,6593.53
10-Feb-05,6577.83
11-Feb-05,6633.76
14-Feb-05,6679.33
15-Feb-05,6670.06
16-Feb-05,6607.78
17-Feb-05,6589.29
18-Feb-05,6584.32
21-Feb-05,6534.68
22-Feb-05,6589.41
23-Feb-05,6582.5
24-Feb-05,6574.21
25-Feb-05,6569.72
28-Feb-05,6713.86
1-Mar-05,6651.08
2-Mar-05,6686.89
3-Mar-05,6784.72
4-Mar-05,6849.48
7-Mar-05,6878.98
8-Mar-05,6915.09
9-Mar-05,6892.82
10-Mar-05,6907.65
11-Mar-05,6853.73
14-Mar-05,6810.04
15-Mar-05,6752.45
16-Mar-05,6746.88
17-Mar-05,6669.52
18-Mar-05,6700.34
21-Mar-05,6656.69
22-Mar-05,6535.45
23-Mar-05,6454.46
24-Mar-05,6442.87
28-Mar-05,6510.74
29-Mar-05,6367.86
30-Mar-05,6381.4
31-Mar-05,6492.82
1-Apr-05,6605.04
4-Apr-05,6604.42
5-Apr-05,6550.29
6-Apr-05,6606.41
7-Apr-05,6545.64
8-Apr-05,6479.54
11-Apr-05,6397.52
12-Apr-05,6464.61
13-Apr-05,6467.92
15-Apr-05,6248.34
18-Apr-05,6156.78
19-Apr-05,6134.86
20-Apr-05,6243.74
21-Apr-05,6299.2
22-Apr-05,6346.57
25-Apr-05,6377.85
26-Apr-05,6339.98
27-Apr-05,6278.5
28-Apr-05,6284.2
29-Apr-05,6154.44
2-May-05,6195.15
3-May-05,6216.77
4-May-05,6289.55
5-May-05,6359.65
6-May-05,6388.48
9-May-05,6481.35
10-May-05,6454.71
11-May-05,6445.13
12-May-05,6456.82
13-May-05,6451.54
16-May-05,6528.03
17-May-05,6466
18-May-05,6447
19-May-05,6478.94
20-May-05,6499.5
23-May-05,6539.83
